INFO 2020-02-16 15:27:58,134 basehttp 15968 3080 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:27:58,150 basehttp 15968 3080 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1926
WARNING 2020-02-16 15:27:58,181 log 15968 3080 Not Found: /static/admin/css/base.css
WARNING 2020-02-16 15:27:58,183 log 15968 14560 Not Found: /static/admin/css/responsive.css
WARNING 2020-02-16 15:27:58,184 basehttp 15968 3080 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:27:58,185 basehttp 15968 14560 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2020-02-16 15:27:58,627 basehttp 15968 14560 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:27:58,638 basehttp 15968 14560 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1926
INFO 2020-02-16 15:28:24,300 autoreload 6608 8556 Watching for file changes with StatReloader
INFO 2020-02-16 15:28:25,835 basehttp 6608 13008 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2114
WARNING 2020-02-16 15:28:25,883 log 6608 13008 Not Found: /static/admin/css/base.css
WARNING 2020-02-16 15:28:25,884 log 6608 10328 Not Found: /static/admin/css/responsive.css
WARNING 2020-02-16 15:28:25,885 basehttp 6608 13008 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:28:25,886 basehttp 6608 10328 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2020-02-16 15:28:30,381 basehttp 6608 10328 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:28:30,472 basehttp 6608 10328 "GET /admin/ HTTP/1.1" 200 13170
WARNING 2020-02-16 15:28:30,517 log 6608 10328 Not Found: /static/admin/css/base.css
WARNING 2020-02-16 15:28:30,520 log 6608 13008 Not Found: /static/admin/css/dashboard.css
WARNING 2020-02-16 15:28:30,522 log 6608 15956 Not Found: /static/admin/css/responsive.css
WARNING 2020-02-16 15:28:30,523 basehttp 6608 10328 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:28:30,524 basehttp 6608 15956 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:28:30,525 basehttp 6608 13008 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
INFO 2020-02-16 15:55:46,795 autoreload 6608 8556 C:\Users\Fillipi\Documents\python\projectBBK\projectBBK\settings.py changed, reloading.
INFO 2020-02-16 15:55:48,447 autoreload 9960 14240 Watching for file changes with StatReloader
